Clean_Prompt,Corrupted_Prompt,Clean_Answer,Corrupted_Answer,Category
"Patient with unilateral hearing loss and vertigo. This is vestibular schwannoma","Patient with bilateral hearing loss and tinnitus. This is presbycusis",schwannoma,presbycusis,otology
"Bone scan shows multiple hot spots. This suggests metastatic disease","Bone scan shows single hot spot. This could be osteoid osteoma",metastatic,osteoid osteoma,oncology
"Patient with hypoglycemia and high insulin. This is insulinoma","Patient with hypoglycemia and low insulin. This is adrenal insufficiency",insulinoma,adrenal insufficiency,endocrinology
"Urinalysis shows positive nitrites. This is bacterial UTI","Urinalysis shows sterile pyuria. This could be TB of urinary tract",bacterial UTI,TB,urology
"Patient with lower back pain and saddle anesthesia. This is cauda equina syndrome","Patient with lower back pain radiating to leg. This is sciatica",cauda equina,sciatica,neurology
"Child with port-wine stain and seizures. This is Sturge-Weber syndrome","Child with ash-leaf spots and seizures. This is tuberous sclerosis",Sturge-Weber,tuberous sclerosis,genetics
"Patient with dysphagia to solids only. This suggests mechanical obstruction","Patient with dysphagia to solids and liquids. This suggests motility disorder",mechanical,motility,gastroenterology
"Mammogram shows spiculated mass. This is concerning for carcinoma","Mammogram shows well-circumscribed mass. This is likely fibroadenoma",carcinoma,fibroadenoma,oncology
"Patient with moon facies and central obesity. This is Cushing syndrome","Patient with hyperpigmentation and hypotension. This is Addison disease",Cushing,Addison,endocrinology
"Child with recurrent sinopulmonary infections. Test for immunodeficiency","Child with recurrent skin infections. Consider chronic granulomatous disease",immunodeficiency,CGD,immunology
"Patient with palpitations and regular narrow complex tachycardia. This is AVNRT","Patient with palpitations and irregularly irregular rhythm. This is atrial fibrillation",AVNRT,afib,cardiology
"Serum albumin is 2.0. This is nephrotic syndrome","Serum albumin is 2.0 with ascites. This is cirrhosis",nephrotic,cirrhosis,nephrology
"Patient with night sweats and lymphadenopathy. Consider lymphoma","Patient with night sweats and productive cough. Consider TB",lymphoma,TB,oncology
"Liver biopsy shows Mallory bodies. This is alcoholic hepatitis","Liver biopsy shows ground-glass hepatocytes. This is hepatitis B",alcoholic,hepatitis B,hepatology
"Patient with positive Romberg sign. This is sensory ataxia","Patient with inability to perform tandem gait. This is cerebellar ataxia",sensory,cerebellar,neurology
"Child with bilious vomiting on day 1 of life. This is malrotation","Child with non-bilious vomiting at 3 weeks. This is pyloric stenosis",malrotation,pyloric stenosis,pediatrics
"Patient with amenorrhea and elevated prolactin. This is prolactinoma","Patient with amenorrhea and low FSH. This is hypothalamic amenorrhea",prolactinoma,hypothalamic,endocrinology
"Blood pressure differs >20 mmHg between arms. This suggests aortic dissection","Blood pressure elevated in arms but low in legs. This is coarctation",dissection,coarctation,cardiology
"Patient with hemolytic anemia and positive Coombs. This is autoimmune hemolytic anemia","Patient with hemolytic anemia and schistocytes. This is microangiopathic hemolysis",AIHA,MAHA,hematology
"Sputum shows branching gram-positive rods. This is actinomycosis","Sputum shows acid-fast bacteria. This is tuberculosis",actinomycosis,TB,infectious_disease
"Chest X-ray shows kerley B lines. This is pulmonary edema","Chest X-ray shows cavitary lesion. This is tuberculosis or cancer",edema,TB,pulmonology
"Patient with painful swallowing. This is odynophagia suggesting esophagitis","Patient with difficulty swallowing. This is dysphagia suggesting obstruction",esophagitis,obstruction,gastroenterology
"Child with limping and limited hip abduction. This is developmental dysplasia","Child with limping and thigh atrophy. This is Legg-Calve-Perthes",DDH,Perthes,pediatrics
"Patient with episodic vertigo lasting hours. This is Meniere disease","Patient with brief vertigo triggered by position. This is BPPV",Meniere,BPPV,otology
"Chest pain worse with swallowing. This is esophageal spasm","Chest pain worse with deep breath. This is pleurisy",esophageal,pleurisy,gastroenterology
"Patient with facial flushing after eating. This is carcinoid syndrome","Patient with facial flushing and hypertension. This is pheochromocytoma",carcinoid,pheochromocytoma,endocrinology
"Child with recurrent infections and eczema. This is Wiskott-Aldrich syndrome","Child with recurrent infections and albinism. This is Chediak-Higashi",Wiskott-Aldrich,Chediak-Higashi,immunology
"Patient with tremor at rest that improves with movement. This is Parkinson disease","Patient with tremor that worsens with movement. This is essential tremor",Parkinson,essential tremor,neurology
"Child with failure to thrive and recurrent infections. Test for HIV","Child with failure to thrive and salty skin. Test for cystic fibrosis",HIV,CF,pediatrics
"Patient with elevated creatinine and small kidneys. This is chronic kidney disease","Patient with elevated creatinine and normal sized kidneys. This is acute kidney injury",CKD,AKI,nephrology
"Thyroid biopsy shows orphan Annie nuclei. This is papillary thyroid cancer","Thyroid biopsy shows amyloid deposits. This is medullary thyroid cancer",papillary,medullary,oncology
"Patient with weight gain and hyperpigmented striae. This is Cushing syndrome","Patient with weight loss and hyperpigmentation. This is Addison disease",Cushing,Addison,endocrinology
"Child with unilateral leg length discrepancy. Check for DDH","Child with bilateral leg bowing. Check for rickets",DDH,rickets,pediatrics
"Patient with painless hematuria and irregular bladder mass. This is bladder cancer","Patient with painful hematuria and flank pain. This is kidney stone",bladder cancer,kidney stone,urology
"Elevated AFP in pregnancy. Screen for neural tube defect","Low AFP in pregnancy. Screen for Down syndrome",NTD,Down syndrome,obstetrics
