Scenario,Expected_Answer,Reasoning_Keywords
"Woman with cyclic pelvic pain, dysmenorrhea, and infertility. What condition is suspected?",Endometriosis,"endometrium,dyspareunia,laparoscopy,endo"
"Patient with polyuria requiring wake-ups at night and normal blood glucose. What condition should be tested?",Diabetes insipidus,"ADH,vasopressin,water deprivation,DI"
"Child with failure to thrive, steatorrhea, and recurrent respiratory infections. What is the diagnosis?",Cystic fibrosis,"CF,sweat test,CFTR,pancreatic"
"Patient with pruritic, erythematous, scaling patches on elbows and knees. What is the diagnosis?",Psoriasis,"plaques,silvery,Auspitz,psoriasis"
"Elderly patient with bone pain, hypercalcemia, and anemia. What hematologic malignancy is suspected?",Multiple myeloma,"myeloma,SPEP,Bence Jones,plasma cells"
"Patient with severe sore throat, fever, and peritonsillar swelling. What complication has occurred?",Peritonsillar abscess,"quinsy,abscess,tonsil,drainage"
"Child with abdominal pain, vomiting, and sausage-shaped mass on exam. What is the diagnosis?",Intussusception,"currant jelly,bowel,obstruction,reduction"
"Patient with chronic productive cough and bronchiectasis. What infectious agent should be cultured?",Pseudomonas aeruginosa,"pseudomonas,bronchiectasis,CF,culture"
"Woman with urinary incontinence with coughing or laughing. What type of incontinence is this?",Stress incontinence,"pelvic floor,pregnancy,incontinence,Kegel"
"Patient with gradually progressive dementia and parkinsonian features. What is the diagnosis?",Lewy body dementia,"LBD,hallucinations,parkinsonism,dementia"
"Young patient with recurrent oral ulcers, genital ulcers, and uveitis. What is the diagnosis?",Behçet disease,"Behcet,ulcers,vasculitis,uveitis"
"Patient with chest pain, friction rub, and diffuse ST elevation. What is the diagnosis?",Acute pericarditis,"pericardium,ECG,friction rub,viral"
"Child with high fever, conjunctivitis, and strawberry tongue for 5 days. What must be diagnosed?",Kawasaki disease,"Kawasaki,coronary,fever,mucocutaneous"
"Patient with altered mental status, headache, and papilledema. What is the concern?",Increased intracranial pressure,"ICP,herniation,papilledema,mannitol"
"Woman with post-prandial epigastric pain and weight loss. What should be evaluated?",Chronic mesenteric ischemia,"mesenteric,ischemia,food fear,atherosclerosis"
"Patient with tetany, perioral numbness, and positive Chvostek sign. What electrolyte is abnormal?",Hypocalcemia,"calcium,parathyroid,tetany,trousseau"
"Child with inspiratory stridor and drooling in tripod position. What airway emergency is this?",Epiglottitis,"haemophilus,airway,emergency,intubation"
"Patient with jaundice, dark urine, and pale stools. What type of hyperbilirubinemia is this?",Conjugated hyperbilirubinemia,"direct,cholestasis,obstruction,biliary"
"Woman with galactorrhea, amenorrhea, and visual field defects. What tumor is suspected?",Prolactinoma,"prolactin,pituitary,dopamine,adenoma"
"Patient with chronic diarrhea, weight loss, and arthralgia. What malabsorptive condition is suspected?",Celiac disease,"gluten,TTG,villous atrophy,celiac"
"Elderly patient with new onset seizure and no prior history. What should be evaluated?",Brain tumor,"mass,seizure,CT,metastasis"
"Patient with recurrent kidney stones and hypercalcemia. What endocrine condition is suspected?",Primary hyperparathyroidism,"PTH,adenoma,calcium,parathyroid"
"Child with microcytic anemia and target cells on smear. What hemoglobinopathy should be evaluated?",Thalassemia,"hemoglobin,electrophoresis,beta,alpha"
"Patient with sudden hearing loss, tinnitus, and vertigo. What inner ear condition is suspected?",Meniere disease,"endolymph,hearing,vertigo,tinnitus"
"Woman with breast mass, axillary lymphadenopathy, and orange peel skin. What is the diagnosis?",Inflammatory breast cancer,"peau d'orange,breast,mastitis,cancer"
"Patient with recurrent pneumonia and dextrocardia. What syndrome should be evaluated?",Kartagener syndrome,"ciliary,situs inversus,bronchiectasis,Kartagener"
"Child with epicanthal folds, single palmar crease, and hypotonia. What is the karyotype?",Trisomy 21,"Down syndrome,chromosome,trisomy,47"
"Patient with episodic weakness and low potassium during attacks. What is the diagnosis?",Hypokalemic periodic paralysis,"paralysis,potassium,channelopathy,familial"
"Woman with butterfly rash and positive anti-dsDNA. What is the diagnosis?",Systemic lupus erythematosus,"lupus,SLE,ANA,autoimmune"
"Patient with clubbing and hypertrophic osteoarthropathy. What should be evaluated?",Lung cancer,"clubbing,osteoarthropathy,paraneoplastic,lung"
"Child with webbed neck and short stature. What is the karyotype?",Turner syndrome,"45XO,Turner,gonadal,dysgenesis"
"Patient with recurrent sinopulmonary infections and low IgA. What is the diagnosis?",Selective IgA deficiency,"IgA,immunodeficiency,recurrent,sinopulmonary"
