Scenario,Diagnosis,Age_Group,Category
"5-month-old with heart murmur, failure to thrive, and tachypnea during feeding.",Ventricular septal defect,Infant,Cardiology
"Newborn with cyanosis not improving with oxygen. Single S2. Egg-shaped heart on X-ray.",Transposition of great arteries,Neonate,Cardiology
"3-year-old with squatting behavior after exertion. Cyanotic spells.",Tetralogy of Fallot,Toddler,Cardiology
"7-year-old with bounding pulses, wide pulse pressure, and continuous machinery murmur.",Patent ductus arteriosus,School-age,Cardiology
"9-year-old with fatigue, exercise intolerance, and fixed split S2.",Atrial septal defect,School-age,Cardiology
"4-year-old with weak femoral pulses and upper extremity hypertension.",Coarctation of aorta,Preschool,Cardiology
"8-year-old with joint pain, fever, and new heart murmur following strep throat.",Acute rheumatic fever,School-age,Cardiology
"6-year-old with eczema, recurrent infections, and thrombocytopenia. Petechiae present.",Wiskott-Aldrich syndrome,School-age,Immunology
"2-year-old with recurrent severe bacterial infections. Low immunoglobulin levels.",X-linked agammaglobulinemia,Toddler,Immunology
"5-year-old with recurrent abscesses and granulomas on biopsy. Abnormal nitroblue tetrazolium test.",Chronic granulomatous disease,Preschool,Immunology
"4-year-old with anaphylaxis after eating peanuts. Urticaria and respiratory distress.",Food allergy,Preschool,Allergy
"7-year-old with seasonal rhinorrhea, sneezing, and itchy eyes every spring.",Allergic rhinitis,School-age,Allergy
"3-year-old with atopic dermatitis, flexural involvement, and intense pruritus.",Eczema,Toddler,Dermatology
"6-month-old with salmon-colored patches on trunk. Lesions fade and reappear.",Erythema toxicum neonatorum,Infant,Dermatology
"8-year-old with multiple café-au-lait spots and axillary freckling.",Neurofibromatosis type 1,School-age,Dermatology
"5-year-old with silvery scales on elbows and knees. Nail pitting present.",Psoriasis,Preschool,Dermatology
"2-year-old with hemangioma on face growing rapidly. Near eye causing concern.",Infantile hemangioma,Toddler,Dermatology
"9-year-old with recurrent bone pain. X-ray shows lytic lesions.",Langerhans cell histiocytosis,School-age,Oncology
"3-year-old with limp and refusal to bear weight. No trauma. Fever present.",Septic arthritis,Toddler,Orthopedic
"6-year-old boy with limp after playing. Limited internal rotation of hip. Afebrile.",Legg-Calvé-Perthes disease,School-age,Orthopedic
"13-year-old obese boy with hip pain radiating to knee. Limited internal rotation.",Slipped capital femoral epiphysis,Adolescent,Orthopedic
"4-year-old with tender swelling over tibia. Night pain relieved by aspirin.",Osteoid osteoma,Preschool,Orthopedic
"Newborn with cleft lip and palate noted at birth. Difficulty feeding.",Cleft lip/palate,Neonate,Craniofacial
"7-year-old with painless scrotal swelling that increases with standing and resolves when supine.",Varicocele,School-age,Urology
